belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",22588,tt0110939,en,"In 1939, WBN, a fourth radio network, is about to take to America's airwaves. As if the confusion of the premiere night wasn't enough, Penny Henderson, the owner's secretary, must deal with an unhappy sponsor, an overbearing boss and a soon-to-be ex-husband who desperately wants her back. As the broadcast begins, a mysterious voice breaks the broadcast and suddenly members of the cast turn up dead. It's up to her husband Roger, to find out whodunit as the police chase him through the halls of WBN.",8.506727,/7OISTd5DyzQ6yW8UMGA2EfieG8u.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/21/94,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"At station WBN, the hits just keep on coming.",Radioland Murders,5.8,12
,22000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",424,tt0108052,en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/29/93,321365567,195,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"Whoever saves one life, saves the world entire.",Schindler's List,8.3,4436
"{'id': 105075, 'name': 'The Shadow Collection', 'poster_path': '/s3ymS1GDfSYmMKmIdCBMc0fbVni.jpg', 'backdrop_path': '/ntIfzZNGz2aHRumYM7P8vqLJv6W.jpg'}",25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",8850,tt0111143,en,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",7.881107,/uk2DdXqdGiFfF5PrvvadQHKES1o.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/1/94,48063435,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Shadow Knows!,The Shadow,5.4,140
,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",10897,tt0110366,en,"Spanky, Alfalfa, Buckwheat, and the other characters made famous in the Our Gang shorts of the 1920s and 1930s are brought back to life in this nostalgic children's comedy. When Alfalfa starts to question his devotion to the club's principles after falling for the beautiful nine-year old Darla, the rest of the gang sets out to keep them apart.",6.707109,/bYpc0diOR3nk9yZeDXEHmsjuKjI.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'King World Entertainment', 'id': 23506}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/5/94,67308282,82,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Mischief loves company,The Little Rascals,6.3,214
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",32308,tt0116165,en,"Jack Cooper (Matt LeBlanc) could be a world-class baseball pitcher if he didn't keep buckling under the pressure. He tries to keep his spirits up after he's traded to a minor league team but loses all hope when he discovers that Ed, one of his teammates, is a chimp. Ed used to be the team mascot, but was promoted to third base when the owners realized he had a talent for baseball. As Jack struggles to get used to his new surroundings, Ed helps him regain his confidence on and off the field.",5.174212,/gH56Ib8XoRUqYsEEaMRgzejkty9.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/15/96,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Minor league. Major friendship.,Ed,3.6,24
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9099,tt0117608,en,The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.,5.70904,/lP9i3lzCwz8mu8ynuzJJBu4Sa9u.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/29/96,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All he ever wanted was an honest week's pay for an honest day's work.,Sgt. Bilko,5.5,96
"{'id': 169452, 'name': 'DragonHeart Collection', 'poster_path': '/bZsqwJnO65wlZ3ez7dopUQMYALY.jpg', 'backdrop_path': '/hRucBWgzCc7iA9avUE2k5gc7dkj.jpg'}",57000000,"[{'id': 14, 'name': 'Fantasy'}]",8840,tt0116136,en,"In an ancient time when majestic fire-breathers soared through the skies, a knight named Bowen comes face to face and heart to heart with the last dragon on Earth, Draco. Taking up arms to suppress a tyrant king, Bowen soon realizes his task will be harder than he'd imagined: If he kills the king, Draco will die as well.",23.63659,/5bqI54aIyPDzPKkScwJprzbAsIi.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/31/96,115267375,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You will believe.,DragonHeart,6.4,553
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",10543,tt0116287,en,A 16 year old girl takes up with a charming young man who quickly shows his colors when he beats a friend simply for walking with her and then goes totally ballistic after she tries to break up with him.,6.954926,/reA4wlTY9qGwryVftscFT2q0ZLK.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/12/96,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Together forever. Or else.,Fear,6.1,157
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",3065,tt0117128,en,"The mad and evil scientist, Dr. Clayton Forrester, has created an evil little scheme that is bound to give him world global domination but first things first. He plans to torment Mike Nelson and the robots by sending them a real stinker of a film to watch called, ""This Island Earth."" He is convinced that this movie will drive them insane. Will this be the ultimate cheese that breaks the boys' spirits?",2.985163,/kBI3kM9kB5E97I7iwsG0z0WAQhb.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Best Brains', 'id': 1310}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/19/96,0,73,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Every year Hollywood makes hundreds of movies. This is one of them.,Mystery Science Theater 3000: The Movie,7,71
,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",9103,tt0117420,en,"Ghang-gheng, the ancient winner-take-all competition in which the deadliest fighters from around the world employ the most spectacular feats of martial arts skills ever displayed in order to win the prized Golden Dragon. But fighting prowess alone will not be enough for Chris to triumph over such daunting foes.",7.941972,/z05SPecyjaryEedxX9noKQdqIFH.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Signature Pictures', 'id': 2982}, {'name': 'MDP Worldwide', 'id': 10828}, {'name': 'Selima Films AVV', 'id': 38114}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",4/19/96,57400547,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Go the distance,The Quest,5.3,126
,25530000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",36355,tt0116322,en,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime.",4.557006,/eq1JsckI4W8m0ozFglRLPkoopkZ.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Bubble Factory', 'id': 27128}, {'name': 'American Films', 'id': 38181}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/17/96,20080020,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This summer it's finally safe to go back in the water.,Flipper,5.3,85
,92000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",664,tt0117998,en,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",8.739144,/tKdDCkmb6obEhWEMLgGUUz5nDNs.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Constant c Productions', 'id': 23370}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/10/96,494471524,113,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Dark Side of Nature.,Twister,6.1,966
,0,"[{'id': 18, 'name': 'Drama'}]",35645,tt0113188,en,"Two teen girls, one from the city, one from the country, try to find the hidden gold of Bear Mountain learning about friendship, loyalty and courage on the way.",5.508101,/2EZf5FKxGRswhOUHn9GM5yqRR0h.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Bregman/Baer Productions', 'id': 11393}, {'name': 'Universal City Studios', 'id': 69627}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",11/3/95,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some friendships are worth a fortune,Gold Diggers: The Secret of Bear Mountain,5.8,20
"{'id': 86028, 'name': 'The Nutty Professor Collection', 'poster_path': '/a6zC38ID7EyAflo8tsPDP4IE0Mt.jpg', 'backdrop_path': '/mW1NQFOSCwwgk03SpcpwiQEL2Lo.jpg'}",54000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",9327,tt0117218,en,"Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.",9.651581,/5DOwcsvjYzHbQLnWkZPthhFYxaj.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/26/96,128769345,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Inside Sherman Klump, a party animal is about to break out.",The Nutty Professor,5.4,717
,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",11228,tt0116040,en,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses.,11.995799,/cPl88Kh44fo005rYrdIxm62GQCb.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Davis Entertainment', 'id': 1302}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/6/96,159212469,115,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No air. No escape. No time.,Daylight,5.8,385
,30000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",10779,tt0116365,en,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",12.09096,/cS3QPtMsE1jsEWUww5WsPE275Jb.jpg,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",7/18/96,29359216,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No Rest for the Wicked.,The Frighteners,6.7,413
"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",15000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",9431,tt0117826,en,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current.",3.450402,/k3DDcdfIfwKubjcFWqIkVL7cQFC.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Tales From The Crypt Holdings', 'id': 69626}, {'name': 'Universal City Studios', 'id': 69627}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/16/96,5600000,87,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Bordello of Blood,5,63
,60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",11015,tt0120004,en,"A researcher at Chicago's Natural History Museum returns from South America with some crates containing his findings. When the crates arrive at the museum without the owner there appears to be very little inside. However, police discover gruesome murders on the cargo ship that brought the crates to the US and then another murder in the museum itself.",7.699967,/jD853TWyJYuksMldrFWaXMovRg0.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Mutual Film Company', 'id': 762}, {'name': 'Pacific Western', 'id': 1280}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Marubeni', 'id': 4650}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 15278}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1/10/97,33956608,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Next Evolution In Terror.,The Relic,5.8,130
,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",58770,tt0117965,en,"How tenuous is man's hold on civilization when survival becomes an issue? When the lights go out and stay out for several days, suburbanites Matthew and Annie learn the hard way that man is ""by nature"" a predatory creature. Matthew's long-time friend, Joe, happens by on the second day and a rivalry between the two friends simmers as Annie cares for her sick baby. . Is this what is meant by ""man's inhumanity to man?""",9.028947,/xBlQrbbxfQlCdIRMvoUYauwcWlH.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/30/96,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When Nothing Works, Anything Goes.",The Trigger Effect,6.6,18
,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",10723,tt0115783,en,"An undercover police officer named Rock Keats befriends a drug dealer and car thief named Archie Moses in a bid to catch the villainous drug lord Frank Coltan. But the only problem is that Keats is a cop, his real name is Jack Carter, and he is working undercover with the LAPD to bust Moses and Colton at a sting operation the LAPD has set up.",7.859132,/fUIX9vUzaku5KFLV1fNlDEExr3k.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/6/96,22611954,84,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Tough cop. Hostile witness.,Bulletproof,5.4,164
,4000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",4808,tt0056923,en,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?",7.098731,/dylvMaUZ1HQvYvVocfiKb5OovOc.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/5/63,13474588,113,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Is anyone really who they seem to be?,Charade,7.7,351
